center_x_px,center_y_px,row_index,col_index,pred_x_px,pred_y_px,residual_px
5.365000000000000000e+02,7.375000000000000000e+02,5.000000000000000000e+00,5.000000000000000000e+00,5.358982777927402594e+02,7.374510107110636454e+02,6.037131480595927524e-01
5.122557077625571083e+02,7.375000000000000000e+02,5.000000000000000000e+00,4.000000000000000000e+00,5.115810335817099599e+02,7.374510107110636454e+02,6.764504421849839577e-01
4.876869369369369451e+02,7.375337837837837469e+02,5.000000000000000000e+00,3.000000000000000000e+00,4.872637893706796604e+02,7.374510107110636454e+02,4.311673044155718837e-01
4.633722943722943910e+02,7.376277056277056090e+02,5.000000000000000000e+00,2.000000000000000000e+00,4.629465451596493040e+02,7.374510107110636454e+02,4.609593101728415854e-01
4.390000000000000000e+02,7.378333333333333712e+02,5.000000000000000000e+00,1.000000000000000000e+00,4.386293009486189476e+02,7.374510107110636454e+02,5.325301627081902023e-01
4.148302658486707628e+02,7.377995910020449628e+02,5.000000000000000000e+00,0.000000000000000000e+00,4.143120567375886480e+02,7.374510107110636454e+02,6.245389516028087007e-01
5.365000000000000000e+02,7.131288888888889232e+02,4.000000000000000000e+00,5.000000000000000000e+00,5.358982777927402594e+02,7.130490438629685741e+02,6.069965756688874281e-01
5.121153846153846416e+02,7.131153846153846416e+02,4.000000000000000000e+00,4.000000000000000000e+00,5.115810335817099599e+02,7.130490438629685741e+02,5.384534544603932771e-01
4.878846153846153584e+02,7.131153846153846416e+02,4.000000000000000000e+00,3.000000000000000000e+00,4.872637893706796604e+02,7.130490438629685741e+02,6.243605008409944812e-01
4.633084886128364133e+02,7.131842650103519645e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.629465451596493040e+02,7.130490438629685741e+02,3.863778228686136629e-01
4.389406952965235291e+02,7.131881390593047172e+02,4.000000000000000000e+00,1.000000000000000000e+00,4.386293009486189476e+02,7.130490438629685741e+02,3.410482569237229811e-01
4.147505112474437396e+02,7.131697341513291803e+02,4.000000000000000000e+00,0.000000000000000000e+00,4.143120567375886480e+02,7.130490438629685741e+02,4.547620288863560289e-01
5.365197368421052033e+02,6.886951754385964932e+02,3.000000000000000000e+00,5.000000000000000000e+00,5.358982777927402594e+02,6.886470770148735028e+02,6.233175822983144654e-01
5.120569620253164658e+02,6.888607594936709120e+02,3.000000000000000000e+00,4.000000000000000000e+00,5.115810335817099599e+02,6.886470770148735028e+02,5.216973118377324914e-01
4.877505112474437396e+02,6.888302658486707060e+02,3.000000000000000000e+00,3.000000000000000000e+00,4.872637893706796604e+02,6.886470770148735028e+02,5.200541646297306420e-01
4.632494887525562035e+02,6.888302658486707060e+02,3.000000000000000000e+00,2.000000000000000000e+00,4.629465451596493040e+02,6.886470770148735028e+02,3.540239671425094437e-01
4.390000000000000000e+02,6.890000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,4.386293009486189476e+02,6.886470770148735028e+02,5.118324141019303664e-01
4.146468253968254203e+02,6.890535714285714448e+02,3.000000000000000000e+00,0.000000000000000000e+00,4.143120567375886480e+02,6.886470770148735028e+02,5.266001932916658523e-01
5.363084886128364133e+02,6.641842650103519645e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.358982777927402594e+02,6.642451101667784314e+02,4.146987460609452003e-01
5.120593047034765277e+02,6.641881390593047172e+02,2.000000000000000000e+00,4.000000000000000000e+00,5.115810335817099599e+02,6.642451101667784314e+02,4.816523362370753181e-01
4.877722567287784727e+02,6.642277432712214704e+02,2.000000000000000000e+00,3.000000000000000000e+00,4.872637893706796604e+02,6.642451101667784314e+02,5.087638581043982811e-01
4.630909090909091219e+02,6.653670033670033490e+02,2.000000000000000000e+00,2.000000000000000000e+00,4.629465451596493040e+02,6.642451101667784314e+02,1.131143358447414649e+00
4.389482758620689538e+02,6.644712643678160475e+02,2.000000000000000000e+00,1.000000000000000000e+00,4.386293009486189476e+02,6.642451101667784314e+02,3.910124269858969437e-01
4.146801541425818982e+02,6.646801541425818414e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.143120567375886480e+02,6.642451101667784314e+02,5.698762676630803048e-01
5.363212851405622814e+02,6.398915662650601917e+02,1.000000000000000000e+00,5.000000000000000000e+00,5.358982777927402594e+02,6.398431433186833601e+02,4.257698886103086222e-01
5.120000000000000000e+02,6.400000000000000000e+02,1.000000000000000000e+00,4.000000000000000000e+00,5.115810335817099599e+02,6.398431433186833601e+02,4.473666037250151883e-01
4.877389558232931677e+02,6.400000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+00,4.872637893706796604e+02,6.398431433186833601e+02,5.003870263735605839e-01
4.631821705426356743e+02,6.400523255813953938e+02,1.000000000000000000e+00,2.000000000000000000e+00,4.629465451596493040e+02,6.398431433186833601e+02,3.150817991265125184e-01
4.388895463510847890e+02,6.401104536489151542e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.386293009486189476e+02,6.398431433186833601e+02,3.730716850060301071e-01
4.145000000000000000e+02,6.400000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,4.143120567375886480e+02,6.398431433186833601e+02,2.447992817789550191e-01
5.361176470588235361e+02,6.154411764705882888e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.358982777927402594e+02,6.154411764705882888e+02,2.193692660832766705e-01
5.120000000000000000e+02,6.155000000000000000e+02,0.000000000000000000e+00,4.000000000000000000e+00,5.115810335817099599e+02,6.154411764705882888e+02,4.230757228525826030e-01
4.876801541425818982e+02,6.156801541425818414e+02,0.000000000000000000e+00,3.000000000000000000e+00,4.872637893706796604e+02,6.154411764705882888e+02,4.800728600875710517e-01
4.631395348837208985e+02,6.156162790697674154e+02,0.000000000000000000e+00,2.000000000000000000e+00,4.629465451596493040e+02,6.154411764705882888e+02,2.605877085292321871e-01
4.389471766848815832e+02,6.156867030965391905e+02,0.000000000000000000e+00,1.000000000000000000e+00,4.386293009486189476e+02,6.154411764705882888e+02,4.016569528283391866e-01
4.143120567375886480e+02,6.155797872340425556e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.143120567375886480e+02,6.154411764705882888e+02,1.386107634542668166e-01
