center_x_px,center_y_px,row_index,col_index,pred_x_px,pred_y_px,residual_px
1.047893985728848065e+03,9.878939857288480653e+02,2.400000000000000000e+01,2.500000000000000000e+01,1.046526748971195957e+03,9.870602535286881221e+02,1.601388688938007121e+00
1.015000000000000000e+03,9.878262626262625190e+02,2.400000000000000000e+01,2.400000000000000000e+01,1.013845679012348228e+03,9.870602535286881221e+02,1.385361642351954581e+00
4.915000000000000000e+02,9.876915113871635867e+02,2.400000000000000000e+01,8.000000000000000000e+00,4.909485596707827426e+02,9.870602535286881221e+02,8.381962303507854983e-01
4.588710010319917387e+02,9.878710010319916819e+02,2.400000000000000000e+01,7.000000000000000000e+00,4.582674897119348998e+02,9.870602535286881221e+02,1.010711347294421136e+00
4.260882051282051179e+02,9.878533333333332394e+02,2.400000000000000000e+01,6.000000000000000000e+00,4.255864197530870570e+02,9.870602535286881221e+02,9.384903511588761349e-01
3.932076843198338452e+02,9.879387331256489233e+02,2.400000000000000000e+01,5.000000000000000000e+00,3.929053497942392141e+02,9.870602535286881221e+02,9.290492816007891452e-01
3.607873210633946428e+02,9.880000000000000000e+02,2.400000000000000000e+01,4.000000000000000000e+00,3.602242798353913713e+02,9.870602535286881221e+02,1.095508491420563280e+00
3.279413580246913398e+02,9.880586419753086602e+02,2.400000000000000000e+01,3.000000000000000000e+00,3.275432098765435285e+02,9.870602535286881221e+02,1.074849495612712591e+00
2.950882051282051179e+02,9.881466666666666470e+02,2.400000000000000000e+01,2.000000000000000000e+00,2.948621399176956857e+02,9.870602535286881221e+02,1.109684182898458493e+00
2.624130434782608745e+02,9.883271221532090749e+02,2.400000000000000000e+01,1.000000000000000000e+00,2.621810699588478428e+02,9.870602535286881221e+02,1.287931607463874251e+00
2.295858895705521547e+02,9.884141104294478737e+02,2.400000000000000000e+01,0.000000000000000000e+00,2.295000000000000000e+02,9.870602535286881221e+02,1.356578610351952152e+00
9.821551551551551711e+02,9.877047047047045680e+02,2.400000000000000000e+01,2.300000000000000000e+01,9.811646090535003850e+02,9.870602535286881221e+02,1.181735544769841439e+00
9.493651741293531359e+02,9.877124378109451754e+02,2.400000000000000000e+01,2.200000000000000000e+01,9.484835390946525422e+02,9.870602535286881221e+02,1.096642454236869790e+00
9.166716716716716746e+02,9.876206206206204570e+02,2.400000000000000000e+01,2.100000000000000000e+01,9.158024691358046994e+02,9.870602535286881221e+02,1.034178092051017295e+00
8.839251497005988085e+02,9.875988023952095318e+02,2.400000000000000000e+01,2.000000000000000000e+01,8.831213991769568565e+02,9.870602535286881221e+02,9.674966593669495074e-01
