 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,180.000,180.000,180.000,2.684,11.402,0.000,0.000
2,0.000,45.000,45.000,45.000,2.708,8.474,0.000,0.000
3,0.000,50.000,50.000,50.000,2.704,7.110,0.000,0.000
4,0.000,155.000,155.000,155.000,2.718,5.075,0.000,0.000
5,0.000,44.000,44.000,44.000,2.737,3.063,0.000,0.000
6,0.000,157.000,157.000,157.000,2.757,4.829,0.000,0.000
7,0.000,119.000,119.000,119.000,2.800,4.941,0.000,0.000
8,0.000,243.000,243.000,243.000,2.829,5.522,0.000,0.000
9,0.000,62.000,62.000,62.000,2.882,5.276,0.000,0.000
10,0.000,54.000,54.000,54.000,2.940,6.014,0.000,0.000
11,0.000,58.000,58.000,58.000,2.988,6.640,0.000,0.000
12,0.000,67.000,67.000,67.000,3.017,7.266,0.000,0.000
13,0.000,181.000,181.000,181.000,3.027,8.317,0.000,0.000
14,0.000,39.000,39.000,39.000,3.031,9.547,0.000,0.000
15,0.000,40.000,40.000,40.000,3.051,10.441,0.000,0.000
16,0.000,148.000,148.000,148.000,3.089,10.955,0.000,0.000
17,0.000,85.000,85.000,85.000,3.166,10.978,0.000,0.000
