 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,10.000,10.000,10.000,0.959,13.513,0.000,0.000
2,0.000,3.000,3.000,3.000,0.961,12.341,0.000,0.000
3,0.000,7.000,7.000,7.000,0.963,11.363,0.000,0.000
4,0.000,70.000,70.000,70.000,0.964,10.523,0.000,0.000
5,0.000,56.000,56.000,56.000,0.970,10.034,0.000,0.000
6,0.000,93.000,93.000,93.000,0.977,9.597,0.000,0.000
7,0.000,10.000,10.000,10.000,0.979,8.898,0.000,0.000
8,0.000,1.000,1.000,1.000,0.979,8.094,0.000,0.000
9,0.000,0.000,0.000,0.000,0.979,7.202,0.000,0.000
10,0.000,0.000,0.000,0.000,0.978,6.660,0.000,0.000
11,0.000,0.000,0.000,0.000,0.978,5.804,0.000,0.000
12,0.000,39.000,39.000,39.000,0.977,4.895,0.000,0.000
13,0.000,98.000,98.000,98.000,0.979,3.793,0.000,0.000
14,0.000,0.000,0.000,0.000,0.988,6.468,0.000,0.000
15,0.000,17.000,17.000,17.000,0.990,8.024,0.000,0.000
16,0.000,0.000,0.000,0.000,1.004,6.433,0.000,0.000
17,0.000,9.000,9.000,9.000,1.010,8.181,0.000,0.000
18,0.000,0.000,0.000,0.000,1.018,5.874,0.000,0.000
19,0.000,2.000,2.000,2.000,1.023,6.346,0.000,0.000
20,0.000,0.000,0.000,0.000,1.030,6.748,0.000,0.000
21,0.000,39.000,39.000,39.000,1.034,7.272,0.000,0.000
22,0.000,7.000,7.000,7.000,1.038,8.303,0.000,0.000
23,0.000,47.000,47.000,47.000,1.049,7.045,0.000,0.000
24,0.000,1.000,1.000,1.000,1.055,7.534,0.000,0.000
25,0.000,0.000,0.000,0.000,1.063,8.006,0.000,0.000
26,0.000,5.000,5.000,5.000,1.077,8.513,0.000,0.000
27,0.000,0.000,0.000,0.000,1.088,9.055,0.000,0.000
28,0.000,0.000,0.000,0.000,1.105,9.457,0.000,0.000
29,0.000,8.000,8.000,8.000,1.121,9.475,0.000,0.000
30,0.000,0.000,0.000,0.000,1.126,9.212,0.000,0.000
31,0.000,1.000,1.000,1.000,1.141,9.125,0.000,0.000
32,0.000,142.000,142.000,142.000,1.150,9.003,0.000,0.000
33,0.000,0.000,0.000,0.000,1.163,9.265,0.000,0.000
34,0.000,160.000,160.000,160.000,1.175,9.475,0.000,0.000
35,0.000,26.000,26.000,26.000,1.191,9.667,0.000,0.000
36,0.000,0.000,0.000,0.000,1.208,9.999,0.000,0.000
37,0.000,2.000,2.000,2.000,1.233,10.191,0.000,0.000
38,0.000,29.000,29.000,29.000,1.248,10.576,0.000,0.000
39,0.000,0.000,0.000,0.000,1.270,10.891,0.000,0.000
40,0.000,14.000,14.000,14.000,1.287,11.415,0.000,0.000
41,0.000,20.000,20.000,20.000,1.304,11.642,0.000,0.000
42,0.000,27.000,27.000,27.000,1.322,11.922,0.000,0.000
43,0.000,13.000,13.000,13.000,1.332,12.254,0.000,0.000
44,0.000,9.000,9.000,9.000,1.349,12.656,0.000,0.000
45,0.000,4.000,4.000,4.000,1.368,12.988,0.000,0.000
46,0.000,119.000,119.000,119.000,1.394,13.250,0.000,0.000
47,0.000,89.000,89.000,89.000,1.418,13.443,0.000,0.000
48,0.000,0.000,0.000,0.000,1.438,13.478,0.000,0.000
49,0.000,39.000,39.000,39.000,1.455,13.495,0.000,0.000
