 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,31.000,31,31.000,0.118,17.335,0.000,0.000
2,0.000,3.000,3,3.000,0.119,16.921,0.000,0.000
3,0.000,75.000,75,75.000,0.120,16.728,0.000,0.000
4,0.000,0.000,0,0.000,0.121,16.369,0.000,0.000
5,0.000,29.000,29,29.000,0.122,16.010,0.000,0.000
6,0.000,37.000,37,37.000,0.124,15.596,0.000,0.000
7,0.000,46.000,46,46.000,0.125,15.182,0.000,0.000
8,0.000,11.000,11,11.000,0.126,14.630,0.000,0.000
9,0.000,12.000,12,12.000,0.128,14.326,0.000,0.000
10,0.000,4.000,4,4.000,0.130,13.829,0.000,0.000
11,0.000,0.000,0,0.000,0.131,13.415,0.000,0.000
12,0.000,8.000,8,8.000,0.133,13.029,0.000,0.000
13,0.000,7.000,7,7.000,0.134,12.698,0.000,0.000
14,0.000,5.000,5,5.000,0.136,12.339,0.000,0.000
15,0.000,3.000,3,3.000,0.137,11.869,0.000,0.000
16,0.000,13.000,13,13.000,0.138,11.290,0.000,0.000
17,0.000,0.000,0,0.000,0.141,10.876,0.000,0.000
18,0.000,79.000,79,79.000,0.143,10.545,0.000,0.000
19,0.000,74.000,74,74.000,0.145,10.075,0.000,0.000
20,0.000,9.000,9,9.000,0.147,9.634,0.000,0.000
21,0.000,28.000,28,28.000,0.149,9.220,0.000,0.000
22,0.000,12.000,12,12.000,0.150,8.640,0.000,0.000
23,0.000,46.000,46,46.000,0.150,8.226,0.000,0.000
24,0.000,12.000,12,12.000,0.150,7.729,0.000,0.000
25,0.000,2.000,2,2.000,0.150,7.149,0.000,0.000
26,0.000,24.000,24,24.000,0.153,7.260,0.000,0.000
27,0.000,17.000,17,17.000,0.155,7.729,0.000,0.000
28,0.000,97.000,97,97.000,0.156,8.005,0.000,0.000
29,0.000,95.000,95,95.000,0.161,8.005,0.000,0.000
30,0.000,95.000,95,95.000,0.164,8.309,0.000,0.000
31,0.000,81.000,81,81.000,0.167,8.750,0.000,0.000
32,0.000,9.000,9,9.000,0.170,9.164,0.000,0.000
33,0.000,116.000,116,116.000,0.175,9.054,0.000,0.000
34,0.000,9.000,9,9.000,0.178,8.888,0.000,0.000
35,0.000,185.000,185,185.000,0.181,8.971,0.000,0.000
36,0.000,4.000,4,4.000,0.183,9.413,0.000,0.000
37,0.000,6.000,6,6.000,0.186,9.827,0.000,0.000
38,0.000,0.000,0,0.000,0.189,9.772,0.000,0.000
39,0.000,236.000,236,236.000,0.191,9.440,0.000,0.000
40,0.000,5.000,5,5.000,0.192,8.999,0.000,0.000
41,0.000,112.000,112,112.000,0.195,8.944,0.000,0.000
42,0.000,0.000,0,0.000,0.195,9.275,0.000,0.000
43,0.000,11.000,11,11.000,0.199,9.496,0.000,0.000
44,0.000,19.000,19,19.000,0.201,9.330,0.000,0.000
45,0.000,0.000,0,0.000,0.205,9.275,0.000,0.000
46,0.000,24.000,24,24.000,0.205,9.689,0.000,0.000
47,0.000,6.000,6,6.000,0.208,10.075,0.000,0.000
48,0.000,12.000,12,12.000,0.211,10.075,0.000,0.000
49,0.000,11.000,11,11.000,0.214,9.744,0.000,0.000
50,0.000,32.000,32,32.000,0.218,9.634,0.000,0.000
51,0.000,23.000,23,23.000,0.221,9.882,0.000,0.000
52,0.000,1.000,1,1.000,0.223,10.268,0.000,0.000
53,0.000,5.000,5,5.000,0.227,10.241,0.000,0.000
54,0.000,86.000,86,86.000,0.229,10.075,0.000,0.000
55,0.000,118.000,118,118.000,0.232,10.130,0.000,0.000
56,0.000,1.000,1,1.000,0.232,10.600,0.000,0.000
57,0.000,19.000,19,19.000,0.235,10.821,0.000,0.000
58,0.000,19.000,19,19.000,0.239,10.683,0.000,0.000
59,0.000,204.000,204,204.000,0.244,10.821,0.000,0.000
60,0.000,26.000,26,26.000,0.248,11.207,0.000,0.000
61,0.000,170.000,170,170.000,0.253,11.290,0.000,0.000
62,0.000,29.000,29,29.000,0.256,11.676,0.000,0.000
63,0.000,50.000,50,50.000,0.260,12.008,0.000,0.000
64,0.000,46.000,46,46.000,0.266,12.090,0.000,0.000
65,0.000,13.000,13,13.000,0.270,12.339,0.000,0.000
66,0.000,11.000,11,11.000,0.272,12.698,0.000,0.000
67,0.000,77.000,77,77.000,0.277,12.780,0.000,0.000
68,0.000,84.000,84,84.000,0.280,12.918,0.000,0.000
69,0.000,133.000,133,133.000,0.283,12.974,0.000,0.000
70,0.000,0.000,0,0.000,0.284,13.388,0.000,0.000
71,0.000,163.000,163,163.000,0.290,13.691,0.000,0.000
72,0.000,13.000,13,13.000,0.294,13.912,0.000,0.000
73,0.000,5.000,5,5.000,0.298,14.188,0.000,0.000
74,0.000,34.000,34,34.000,0.304,14.464,0.000,0.000
75,0.000,35.000,35,35.000,0.310,14.547,0.000,0.000
76,0.000,93.000,93,93.000,0.318,14.740,0.000,0.000
77,0.000,38.000,38,38.000,0.323,14.657,0.000,0.000
78,0.000,255.000,255,255.000,0.329,14.492,0.000,0.000
79,0.000,66.000,66,66.000,0.335,14.768,0.000,0.000
80,0.000,5.000,5,5.000,0.338,14.961,0.000,0.000
81,0.000,14.000,14,14.000,0.342,15.348,0.000,0.000
82,0.000,20.000,20,20.000,0.346,15.568,0.000,0.000
83,0.000,38.000,38,38.000,0.353,15.651,0.000,0.000
84,0.000,40.000,40,40.000,0.362,15.872,0.000,0.000
85,0.000,39.000,39,39.000,0.367,16.148,0.000,0.000
86,0.000,40.000,40,40.000,0.375,16.479,0.000,0.000
87,0.000,17.000,17,17.000,0.380,16.728,0.000,0.000
