 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,0.000,0,0.000,1.148,7.916,0.000,0.000
2,0.000,0.000,0,0.000,1.153,7.582,0.000,0.000
3,0.000,8.000,8,8.000,1.161,7.154,0.000,0.000
4,0.000,0.000,0,0.000,1.161,6.838,0.000,0.000
5,0.000,0.000,0,0.000,1.163,6.374,0.000,0.000
6,0.000,9.000,9,9.000,1.168,5.909,0.000,0.000
7,0.000,0.000,0,0.000,1.171,5.482,0.000,0.000
8,0.000,5.000,5,5.000,1.174,4.980,0.000,0.000
9,0.000,0.000,0,0.000,1.173,4.534,0.000,0.000
10,0.000,0.000,0,0.000,1.176,4.070,0.000,0.000
11,0.000,0.000,0,0.000,1.178,3.586,0.000,0.000
12,0.000,0.000,0,0.000,1.188,3.178,0.000,0.000
13,0.000,133.000,133,133.000,1.209,3.029,0.000,0.000
14,0.000,0.000,0,0.000,1.243,3.066,0.000,0.000
15,0.000,205.000,205,205.000,1.273,3.048,0.000,0.000
16,0.000,133.000,133,133.000,1.297,3.048,0.000,0.000
17,0.000,72.000,72,72.000,1.330,3.066,0.000,0.000
18,0.000,14.000,14,14.000,1.371,3.122,0.000,0.000
19,0.000,14.000,14,14.000,1.403,3.122,0.000,0.000
20,0.000,223.000,223,223.000,1.431,3.233,0.000,0.000
21,0.000,7.000,7,7.000,1.457,3.438,0.000,0.000
22,0.000,0.000,0,0.000,1.489,3.735,0.000,0.000
23,0.000,66.000,66,66.000,1.513,4.125,0.000,0.000
24,0.000,0.000,0,0.000,1.525,4.497,0.000,0.000
25,0.000,0.000,0,0.000,1.539,4.924,0.000,0.000
26,0.000,0.000,0,0.000,1.554,5.389,0.000,0.000
27,0.000,0.000,0,0.000,1.574,5.426,0.000,0.000
28,0.000,0.000,0,0.000,1.579,5.668,0.000,0.000
29,0.000,63.000,63,63.000,1.593,6.039,0.000,0.000
30,0.000,22.000,22,22.000,1.601,6.392,0.000,0.000
31,0.000,133.000,133,133.000,1.618,6.429,0.000,0.000
32,0.000,0.000,0,0.000,1.623,6.151,0.000,0.000
33,0.000,0.000,0,0.000,1.623,5.928,0.000,0.000
34,0.000,0.000,0,0.000,1.631,5.742,0.000,0.000
35,0.000,163.000,163,163.000,1.650,5.742,0.000,0.000
36,0.000,28.000,28,28.000,1.664,6.076,0.000,0.000
37,0.000,61.000,61,61.000,1.688,6.355,0.000,0.000
38,0.000,0.000,0,0.000,1.703,6.652,0.000,0.000
39,0.000,30.000,30,30.000,1.737,6.838,0.000,0.000
40,0.000,79.000,79,79.000,1.772,6.987,0.000,0.000
41,0.000,0.000,0,0.000,1.794,7.247,0.000,0.000
42,0.000,0.000,0,0.000,1.817,7.544,0.000,0.000
43,0.000,0.000,0,0.000,1.835,7.897,0.000,0.000
