 ,Area,Mean,Min,Max,X,Y
1,0.000,33,33,33,4.904,14.796
2,0.000,44,44,44,4.919,15.019
3,0.000,33,33,33,4.938,15.277
4,0.000,34,34,34,4.955,15.500
5,0.000,37,37,37,4.959,16.084
6,0.000,33,33,33,4.962,16.787
7,0.000,45,45,45,4.964,17.594
8,0.000,34,34,34,4.973,18.967
9,0.000,55,55,55,4.987,20.718
10,0.000,33,33,33,5.011,19.946
11,0.000,65,65,65,5.023,19.122
12,0.000,34,34,34,5.032,18.401
13,0.000,33,33,33,5.042,17.886
14,0.000,33,33,33,5.073,17.474
15,0.000,74,74,74,5.108,17.113
16,0.000,38,38,38,5.136,16.736
17,0.000,33,33,33,5.160,16.410
18,0.000,37,37,37,5.175,16.101
19,0.000,34,34,34,5.198,15.946
20,0.000,49,49,49,5.215,16.272
21,0.000,34,34,34,5.224,16.701
22,0.000,34,34,34,5.227,17.216
23,0.000,37,37,37,5.238,17.714
24,0.000,39,39,39,5.267,17.560
25,0.000,38,38,38,5.311,17.371
26,0.000,40,40,40,5.347,17.337
27,0.000,34,34,34,5.375,17.268
28,0.000,34,34,34,5.401,17.182
29,0.000,36,36,36,5.434,17.148
30,0.000,33,33,33,5.465,17.045
31,0.000,37,37,37,5.487,16.839
32,0.000,41,41,41,5.513,16.547
33,0.000,37,37,37,5.544,16.255
34,0.000,33,33,33,5.570,15.981
35,0.000,35,35,35,5.591,15.809
36,0.000,33,33,33,5.622,15.654
37,0.000,34,34,34,5.652,15.534
38,0.000,36,36,36,5.673,15.363
39,0.000,33,33,33,5.692,15.139
40,0.000,37,37,37,5.702,14.882
