time_s,flow_rate_lps
0.000000,-0.000000
0.005000,0.334000
0.013000,0.762000
0.013000,1.078000
0.015000,1.542000
0.020000,2.007000
0.023000,2.434000
0.026000,2.936000
0.025000,3.382000
0.028000,3.846000
0.030000,4.330000
0.040000,4.738000
0.061000,4.887000
0.095000,4.850000
0.125000,4.868000
0.149000,4.868000
0.182000,4.850000
0.223000,4.794000
0.255000,4.794000
0.283000,4.683000
0.309000,4.478000
0.341000,4.181000
0.365000,3.791000
0.377000,3.419000
0.391000,2.992000
0.406000,2.527000
0.426000,2.490000
0.431000,2.248000
0.445000,1.877000
0.453000,1.524000
0.470000,1.487000
0.475000,1.765000
0.475000,1.988000
0.483000,2.174000
0.502000,2.174000
0.516000,1.840000
0.540000,1.561000
0.555000,1.264000
0.589000,1.078000
0.624000,0.929000
0.646000,0.669000
0.669000,0.372000
0.687000,0.019000
