time_s,flow_rate_lps
0.000000,-0.000000
0.008000,0.317000
0.011000,0.588000
0.015000,0.665000
0.016000,0.983000
0.021000,1.316000
0.022000,1.695000
0.027000,2.082000
0.030000,2.291000
0.032000,2.524000
0.035000,2.888000
0.041000,3.445000
0.051000,4.150000
0.054000,4.328000
0.058000,4.475000
0.060000,4.606000
0.066000,4.753000
0.074000,4.753000
0.082000,4.529000
0.085000,4.227000
0.095000,3.995000
0.102000,3.623000
0.110000,3.360000
0.120000,3.189000
0.129000,3.042000
0.143000,3.019000
0.150000,2.841000
0.163000,2.802000
0.171000,2.709000
0.181000,2.717000
0.190000,2.624000
0.208000,2.578000
0.223000,2.524000
0.236000,2.407000
0.250000,2.315000
0.265000,2.183000
0.280000,2.036000
0.295000,1.920000
0.314000,1.742000
0.331000,1.540000
0.343000,1.308000
0.357000,1.022000
0.367000,0.797000
0.378000,0.580000
0.386000,0.418000
0.394000,0.278000
0.407000,0.131000
0.421000,0.031000
0.435000,-0.008000
