time_s,flow_rate_lps
0.000000,-0.000000
0.002000,1.172000
0.004000,2.150000
0.005000,2.990000
0.011000,3.479000
0.018000,3.916000
0.020000,4.615000
0.020000,5.419000
0.020000,6.311000
0.019000,6.853000
0.019000,7.709000
0.018000,8.618000
0.020000,9.720000
0.029000,7.045000
0.031000,5.489000
0.045000,7.080000
0.051000,5.332000
0.059000,7.639000
0.064000,7.167000
0.071000,6.765000
0.075000,6.241000
0.079000,5.210000
0.090000,6.468000
0.096000,5.979000
0.104000,5.507000
0.118000,5.000000
0.129000,4.458000
0.146000,4.056000
0.162000,4.038000
0.167000,4.301000
0.182000,4.388000
0.191000,4.510000
0.204000,4.248000
0.216000,4.038000
0.232000,3.846000
0.249000,3.514000
0.274000,3.322000
0.289000,2.937000
0.311000,2.622000
0.328000,2.098000
0.345000,1.871000
0.363000,1.591000
0.373000,1.259000
0.390000,0.857000
0.409000,0.525000
0.435000,0.263000
0.459000,0.070000
0.479000,0.035000
0.496000,0.018000
