time_s,flow_rate_lps
0.000000,-0.000000
0.001000,0.196000
0.002000,0.344000
0.003000,0.507000
0.005000,0.720000
0.006000,0.982000
0.007000,1.244000
0.008000,1.489000
0.009000,1.685000
0.010000,1.931000
0.011000,2.258000
0.012000,2.504000
0.013000,2.782000
0.015000,3.175000
0.016000,3.534000
0.017000,3.927000
0.018000,4.353000
0.019000,4.713000
0.021000,5.040000
0.022000,5.449000
0.023000,5.760000
0.024000,6.120000
0.025000,6.513000
0.026000,6.938000
0.027000,7.298000
0.028000,7.625000
0.029000,7.952000
0.030000,8.411000
0.032000,8.967000
0.034000,9.491000
0.035000,9.147000
0.036000,8.771000
0.036000,8.345000
0.036000,7.887000
0.037000,7.462000
0.038000,7.069000
0.038000,6.660000
0.039000,6.283000
0.040000,5.956000
0.041000,5.694000
0.042000,5.383000
0.044000,5.073000
0.045000,4.729000
0.047000,4.451000
0.049000,4.238000
0.050000,4.124000
0.051000,4.058000
0.052000,3.960000
0.053000,3.927000
0.055000,3.862000
0.057000,3.796000
0.058000,3.747000
0.060000,3.665000
0.061000,3.600000
0.063000,3.518000
0.064000,3.453000
0.066000,3.322000
0.068000,3.207000
0.070000,3.076000
0.071000,3.044000
0.073000,2.929000
0.075000,2.815000
0.077000,2.733000
0.079000,2.618000
0.081000,2.553000
0.082000,2.487000
0.084000,2.471000
0.085000,2.373000
0.087000,2.389000
0.089000,2.340000
0.090000,2.340000
0.092000,2.307000
