time_s,flow_rate_lps
0.000000,-0.000000
0.001000,0.414000
0.002000,0.607000
0.003000,0.966000
0.004000,1.325000
0.006000,1.739000
0.007000,2.153000
0.008000,2.705000
0.010000,3.009000
0.012000,3.506000
0.013000,3.920000
0.015000,4.306000
0.016000,4.637000
0.018000,4.996000
0.019000,5.466000
0.020000,6.045000
0.023000,6.459000
0.025000,6.790000
0.027000,7.260000
0.029000,7.701000
0.031000,8.115000
0.032000,8.695000
0.032000,9.109000
0.032000,9.606000
0.032000,10.186000
0.035000,10.075000
0.037000,9.606000
0.038000,9.330000
0.043000,9.330000
0.046000,9.026000
0.049000,8.585000
0.052000,8.171000
0.057000,8.281000
0.060000,8.447000
0.063000,8.364000
0.065000,7.922000
0.068000,7.508000
0.071000,7.563000
0.073000,7.895000
0.074000,8.336000
0.077000,8.391000
0.077000,8.060000
0.081000,7.839000
0.083000,8.005000
0.087000,8.060000
0.087000,7.646000
0.090000,7.260000
0.093000,7.260000
0.096000,7.591000
0.100000,7.701000
0.103000,7.453000
0.105000,7.067000
0.109000,7.094000
0.111000,7.260000
0.114000,7.205000
0.114000,6.735000
0.117000,6.514000
0.121000,6.652000
0.126000,6.514000
0.130000,6.128000
0.135000,6.045000
0.138000,5.659000
0.142000,5.327000
0.148000,5.245000
0.152000,4.996000
0.154000,4.637000
0.159000,4.555000
0.162000,4.417000
0.165000,4.361000
0.166000,3.947000
0.172000,3.644000
0.176000,3.423000
0.180000,3.147000
0.186000,2.871000
0.192000,2.788000
0.200000,2.595000
0.205000,2.678000
0.211000,2.843000
0.217000,2.567000
0.220000,2.374000
0.224000,1.987000
0.228000,1.767000
0.235000,1.684000
0.244000,1.463000
0.249000,1.187000
0.257000,0.856000
0.262000,0.607000
0.267000,0.635000
0.270000,0.745000
0.277000,0.745000
0.284000,0.497000
0.290000,0.497000
0.295000,0.497000
0.300000,0.442000
0.305000,0.304000
0.310000,0.221000
0.315000,0.221000
0.319000,0.386000
0.324000,0.442000
0.328000,0.359000
0.332000,0.248000
0.341000,0.110000
0.348000,0.193000
