time_s,flow_rate_lps
0.000000,0.000000
0.015000,0.223000
0.034000,0.481000
0.051000,0.704000
0.055000,1.288000
0.058000,1.991000
0.060000,2.798000
0.069000,4.171000
0.083000,5.922000
0.107000,5.150000
0.119000,4.326000
0.128000,3.605000
0.138000,3.090000
0.169000,2.678000
0.204000,2.317000
0.232000,1.940000
0.256000,1.614000
0.271000,1.305000
0.294000,1.150000
0.311000,1.476000
0.320000,1.905000
0.323000,2.420000
0.334000,2.918000
0.363000,2.764000
0.407000,2.575000
0.443000,2.541000
0.471000,2.472000
0.497000,2.386000
0.530000,2.352000
0.561000,2.249000
0.583000,2.043000
0.609000,1.751000
0.640000,1.459000
0.666000,1.185000
0.687000,1.013000
0.718000,0.858000
0.748000,0.738000
0.769000,0.567000
0.788000,0.343000
0.798000,0.086000
