 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,85.000,85.000,85,0.158,6.662,0.000,0.000
2,0.000,73.000,73.000,73,0.166,6.345,0.000,0.000
3,0.000,53.000,53.000,53,0.169,6.074,0.000,0.000
4,0.000,106.000,106.000,106,0.173,5.997,0.000,0.000
5,0.000,50.000,50.000,50,0.174,5.679,0.000,0.000
6,0.000,140.000,140.000,140,0.179,5.346,0.000,0.000
7,0.000,95.000,95.000,95,0.180,4.967,0.000,0.000
8,0.000,77.000,77.000,77,0.185,4.580,0.000,0.000
9,0.000,116.000,116.000,116,0.188,4.371,0.000,0.000
10,0.000,82.000,82.000,82,0.190,4.138,0.000,0.000
11,0.000,72.000,72.000,72,0.193,3.774,0.000,0.000
12,0.000,38.000,38.000,38,0.199,3.217,0.000,0.000
13,0.000,68.000,68.000,68,0.209,2.512,0.000,0.000
14,0.000,108.000,108.000,108,0.212,2.334,0.000,0.000
15,0.000,176.000,176.000,176,0.216,2.187,0.000,0.000
16,0.000,111.000,111.000,111,0.218,2.056,0.000,0.000
17,0.000,118.000,118.000,118,0.224,1.909,0.000,0.000
18,0.000,75.000,75.000,75,0.232,1.909,0.000,0.000
19,0.000,114.000,114.000,114,0.240,2.133,0.000,0.000
20,0.000,195.000,195.000,195,0.243,2.435,0.000,0.000
21,0.000,220.000,220.000,220,0.253,2.667,0.000,0.000
22,0.000,54.000,54.000,54,0.260,3.039,0.000,0.000
23,0.000,51.000,51.000,51,0.268,3.302,0.000,0.000
24,0.000,154.000,154.000,154,0.278,3.473,0.000,0.000
25,0.000,74.000,74.000,74,0.287,3.620,0.000,0.000
26,0.000,168.000,168.000,168,0.301,3.643,0.000,0.000
27,0.000,66.000,66.000,66,0.308,3.821,0.000,0.000
28,0.000,60.000,60.000,60,0.321,3.860,0.000,0.000
29,0.000,66.000,66.000,66,0.329,3.953,0.000,0.000
30,0.000,76.000,76.000,76,0.339,3.945,0.000,0.000
31,0.000,58.000,58.000,58,0.348,4.038,0.000,0.000
32,0.000,56.000,56.000,56,0.366,4.084,0.000,0.000
33,0.000,168.000,168.000,168,0.381,4.138,0.000,0.000
34,0.000,48.000,48.000,48,0.394,4.255,0.000,0.000
35,0.000,69.000,69.000,69,0.408,4.347,0.000,0.000
36,0.000,99.000,99.000,99,0.423,4.479,0.000,0.000
37,0.000,59.000,59.000,59,0.438,4.626,0.000,0.000
38,0.000,65.000,65.000,65,0.453,4.742,0.000,0.000
39,0.000,61.000,61.000,61,0.472,4.920,0.000,0.000
40,0.000,60.000,60.000,60,0.489,5.122,0.000,0.000
41,0.000,141.000,141.000,141,0.501,5.354,0.000,0.000
42,0.000,122.000,122.000,122,0.515,5.640,0.000,0.000
43,0.000,73.000,73.000,73,0.525,5.865,0.000,0.000
44,0.000,168.000,168.000,168,0.536,6.082,0.000,0.000
45,0.000,73.000,73.000,73,0.544,6.244,0.000,0.000
46,0.000,65.000,65.000,65,0.552,6.384,0.000,0.000
47,0.000,102.000,102.000,102,0.565,6.531,0.000,0.000
48,0.000,61.000,61.000,61,0.579,6.631,0.000,0.000
49,0.000,85.000,85.000,85,0.593,6.670,0.000,0.000
